song	link	artist_name	artist_id
אורות	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7335&wrkid=26740	אברהם טל	7335
אצלך בעולם	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=341&wrkid=10183	היהודים	341
אישה מהשמיים	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1535&wrkid=23937	גלעד שגב	1535
תגידו לה	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4592&wrkid=27093	דודו אהרון	4592
ערב טוב	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=594&wrkid=25020	ליאור נרקיס	594
כאב של לוחמים	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12746&wrkid=28626	עידן עמדי	12746
כשאחר	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=92&wrkid=30721	אייל גולן	92
כל מה שיש לי	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12579&wrkid=30592	נתן גושן	12579
ללכת	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=10743&wrkid=31027	לירן דנינו	10743
אמא, אבא וכל השאר	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1333&wrkid=30845	הפרויקט של עידן רייכל	1333
יש לך	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=966&wrkid=32445	שלומי שבת	966
זיקוקים	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3787&wrkid=32203	משה פרץ	3787
כשאת איתו	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=92&wrkid=32698	אייל גולן	92
אלוהיי	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=32837	שלמה ארצי	975
מישהו פעם	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=764&wrkid=32886	עברי לידר	764
בלילה	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1333&wrkid=35133	הפרויקט של עידן רייכל	1333
עכשיו קרוב	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1428&wrkid=34782	עידן רייכל	1428
בזמן האחרון	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12746&wrkid=35272	עידן עמדי	12746
תם ולא נשלם	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14716&wrkid=33786	עילי בוטנר וילדי החוץ	14716
זמן להתעורר	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=333&wrkid=35110	הדג נחש	333
ילד של אבא	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=620&wrkid=36558	מוקי	620
לב חופשי	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=620&wrkid=36218	מוקי	620
מתנות קטנות	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=920&wrkid=36715	רמי קלינשטיין	920
יפה כלבנה	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=41&wrkid=35962	אביתר בנאי	41
ימים יגידו	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=92&wrkid=37305	אייל גולן	92
מתוק כשמרלי	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=16155&wrkid=39358	אליעד	16155
דרך השלום	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7747&wrkid=38125	פאר טסי	7747
שישי בצהריים	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=92&wrkid=39575	אייל גולן	92
דברי איתי יותר	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12579&wrkid=39913	נתן גושן	12579


,2000,1
,2001,1
,2002,1
,2003,1
,2004,1
,2005,1
,2006,1
,2007,1
,2008,1
,2009,1